left,bottom,right,top
611500.0013987499987707,270748.5349730100133456,612166.6683762499596924,271325.8855113899917342
612000.0016318799462169,263531.6532432700041682,612666.6686093800235540,264109.0037816499825567
612000.0016318799462169,264109.0037816499825567,612666.6686093800235540,264686.3543200300191529
612000.0016318799462169,264686.3543200300191529,612666.6686093800235540,265263.7048583999858238
612000.0016318799462169,265263.7048583999858238,612666.6686093800235540,265841.0553967800224200
612000.0016318799462169,265841.0553967800224200,612666.6686093800235540,266418.4059351600008085
612000.0016318799462169,266418.4059351600008085,612666.6686093800235540,266995.7564735399791971
612000.0016318799462169,266995.7564735399791971,612666.6686093800235540,267573.1070119200157933
612000.0016318799462169,267573.1070119200157933,612666.6686093800235540,268150.4575502999941818
612000.0016318799462169,268150.4575502999941818,612666.6686093800235540,268727.8080886799725704
612000.0016318799462169,268727.8080886799725704,612666.6686093800235540,269305.1586270600091666
612000.0016318799462169,269305.1586270600091666,612666.6686093800235540,269882.5091654399875551
612000.0016318799462169,269882.5091654399875551,612666.6686093800235540,270459.8597038200241514
612000.0016318799462169,270459.8597038200241514,612666.6686093800235540,271037.2102422000025399
612500.0018649999983609,264397.6790508399717510,613166.6688424999592826,264975.0295892200083472
612500.0018649999983609,264975.0295892200083472,613166.6688424999592826,265552.3801275899750181
612500.0018649999983609,265552.3801275899750181,613166.6688424999592826,266129.7306659700116143
612500.0018649999983609,266129.7306659700116143,613166.6688424999592826,266707.0812043499900028
612500.0018649999983609,266707.0812043499900028,613166.6688424999592826,267284.4317427300265990
612500.0018649999983609,267284.4317427300265990,613166.6688424999592826,267861.7822811100049876
612500.0018649999983609,267861.7822811100049876,613166.6688424999592826,268439.1328194899833761
612500.0018649999983609,268439.1328194899833761,613166.6688424999592826,269016.4833578700199723
612500.0018649999983609,269016.4833578700199723,613166.6688424999592826,269593.8338962499983609
612500.0018649999983609,269593.8338962499983609,613166.6688424999592826,270171.1844346299767494
612500.0018649999983609,270171.1844346299767494,613166.6688424999592826,270748.5349730100133456
613000.0020981299458072,264686.3543200300191529,613666.6690756300231442,265263.7048583999858238
613000.0020981299458072,265263.7048583999858238,613666.6690756300231442,265841.0553967800224200
613000.0020981299458072,265841.0553967800224200,613666.6690756300231442,266418.4059351600008085
613000.0020981299458072,266418.4059351600008085,613666.6690756300231442,266995.7564735399791971
613000.0020981299458072,266995.7564735399791971,613666.6690756300231442,267573.1070119200157933
613000.0020981299458072,267573.1070119200157933,613666.6690756300231442,268150.4575502999941818
613000.0020981299458072,268150.4575502999941818,613666.6690756300231442,268727.8080886799725704
613000.0020981299458072,268727.8080886799725704,613666.6690756300231442,269305.1586270600091666
613000.0020981299458072,269305.1586270600091666,613666.6690756300231442,269882.5091654399875551
613500.0023312499979511,264975.0295892200083472,614166.6693087499588728,265552.3801275899750181
613500.0023312499979511,265552.3801275899750181,614166.6693087499588728,266129.7306659700116143
613500.0023312499979511,266129.7306659700116143,614166.6693087499588728,266707.0812043499900028
613500.0023312499979511,266707.0812043499900028,614166.6693087499588728,267284.4317427300265990
613500.0023312499979511,267284.4317427300265990,614166.6693087499588728,267861.7822811100049876
613500.0023312499979511,267861.7822811100049876,614166.6693087499588728,268439.1328194899833761
613500.0023312499979511,268439.1328194899833761,614166.6693087499588728,269016.4833578700199723
613500.0023312499979511,269016.4833578700199723,614166.6693087499588728,269593.8338962499983609
613500.0023312499979511,269593.8338962499983609,614166.6693087499588728,270171.1844346299767494
614000.0025643799453974,267573.1070119200157933,614666.6695418800227344,268150.4575502999941818
614000.0025643799453974,268150.4575502999941818,614666.6695418800227344,268727.8080886799725704
614000.0025643799453974,268727.8080886799725704,614666.6695418800227344,269305.1586270600091666
614000.0025643799453974,269305.1586270600091666,614666.6695418800227344,269882.5091654399875551
614000.0025643799453974,269882.5091654399875551,614666.6695418800227344,270459.8597038200241514
614500.0027974999975413,267284.4317427300265990,615166.6697749999584630,267861.7822811100049876
614500.0027974999975413,267861.7822811100049876,615166.6697749999584630,268439.1328194899833761
614500.0027974999975413,268439.1328194899833761,615166.6697749999584630,269016.4833578700199723
614500.0027974999975413,269016.4833578700199723,615166.6697749999584630,269593.8338962499983609
614500.0027974999975413,269593.8338962499983609,615166.6697749999584630,270171.1844346299767494
614500.0027974999975413,270171.1844346299767494,615166.6697749999584630,270748.5349730100133456
614500.0027974999975413,270748.5349730100133456,615166.6697749999584630,271325.8855113899917342
615000.0030306299449876,267573.1070119200157933,615666.6700081300223246,268150.4575502999941818
615000.0030306299449876,268150.4575502999941818,615666.6700081300223246,268727.8080886799725704
615000.0030306299449876,268727.8080886799725704,615666.6700081300223246,269305.1586270600091666
615000.0030306299449876,269305.1586270600091666,615666.6700081300223246,269882.5091654399875551
615000.0030306299449876,269882.5091654399875551,615666.6700081300223246,270459.8597038200241514
615000.0030306299449876,270459.8597038200241514,615666.6700081300223246,271037.2102422000025399
615000.0030306299449876,271037.2102422000025399,615666.6700081300223246,271614.5607805799809285
615000.0030306299449876,271614.5607805799809285,615666.6700081300223246,272191.9113189600175247
615500.0032637499971315,267284.4317427300265990,616166.6702412499580532,267861.7822811100049876
615500.0032637499971315,267861.7822811100049876,616166.6702412499580532,268439.1328194899833761
615500.0032637499971315,268439.1328194899833761,616166.6702412499580532,269016.4833578700199723
615500.0032637499971315,269016.4833578700199723,616166.6702412499580532,269593.8338962499983609
615500.0032637499971315,269593.8338962499983609,616166.6702412499580532,270171.1844346299767494
615500.0032637499971315,270171.1844346299767494,616166.6702412499580532,270748.5349730100133456
615500.0032637499971315,270748.5349730100133456,616166.6702412499580532,271325.8855113899917342
615500.0032637499971315,271325.8855113899917342,616166.6702412499580532,271903.2360497700283304
616000.0034968799445778,267573.1070119200157933,616666.6704743800219148,268150.4575502999941818
616000.0034968799445778,268150.4575502999941818,616666.6704743800219148,268727.8080886799725704
616000.0034968799445778,268727.8080886799725704,616666.6704743800219148,269305.1586270600091666
616000.0034968799445778,269305.1586270600091666,616666.6704743800219148,269882.5091654399875551
616000.0034968799445778,269882.5091654399875551,616666.6704743800219148,270459.8597038200241514
616000.0034968799445778,270459.8597038200241514,616666.6704743800219148,271037.2102422000025399
616000.0034968799445778,271037.2102422000025399,616666.6704743800219148,271614.5607805799809285
616000.0034968799445778,271614.5607805799809285,616666.6704743800219148,272191.9113189600175247
616500.0037299999967217,267861.7822811100049876,617166.6707074999576434,268439.1328194899833761
616500.0037299999967217,268439.1328194899833761,617166.6707074999576434,269016.4833578700199723
616500.0037299999967217,269016.4833578700199723,617166.6707074999576434,269593.8338962499983609
616500.0037299999967217,269593.8338962499983609,617166.6707074999576434,270171.1844346299767494
616500.0037299999967217,270171.1844346299767494,617166.6707074999576434,270748.5349730100133456
616500.0037299999967217,270748.5349730100133456,617166.6707074999576434,271325.8855113899917342
616500.0037299999967217,271325.8855113899917342,617166.6707074999576434,271903.2360497700283304
617000.0039631299441680,268150.4575502999941818,617666.6709406300215051,268727.8080886799725704
617000.0039631299441680,268727.8080886799725704,617666.6709406300215051,269305.1586270600091666
617000.0039631299441680,269305.1586270600091666,617666.6709406300215051,269882.5091654399875551
617000.0039631299441680,269882.5091654399875551,617666.6709406300215051,270459.8597038200241514
617000.0039631299441680,270459.8597038200241514,617666.6709406300215051,271037.2102422000025399
617000.0039631299441680,271037.2102422000025399,617666.6709406300215051,271614.5607805799809285
617500.0041962499963120,267861.7822811100049876,618166.6711737499572337,268439.1328194899833761
617500.0041962499963120,268439.1328194899833761,618166.6711737499572337,269016.4833578700199723
617500.0041962499963120,269016.4833578700199723,618166.6711737499572337,269593.8338962499983609
617500.0041962499963120,269593.8338962499983609,618166.6711737499572337,270171.1844346299767494
617500.0041962499963120,270171.1844346299767494,618166.6711737499572337,270748.5349730100133456
617500.0041962499963120,270748.5349730100133456,618166.6711737499572337,271325.8855113899917342
617500.0041962499963120,271325.8855113899917342,618166.6711737499572337,271903.2360497700283304
618000.0044293799437582,268150.4575502999941818,618666.6714068800210953,268727.8080886799725704
618000.0044293799437582,268727.8080886799725704,618666.6714068800210953,269305.1586270600091666
618000.0044293799437582,269305.1586270600091666,618666.6714068800210953,269882.5091654399875551
618000.0044293799437582,269882.5091654399875551,618666.6714068800210953,270459.8597038200241514
618000.0044293799437582,271037.2102422000025399,618666.6714068800210953,271614.5607805799809285
618000.0044293799437582,271614.5607805799809285,618666.6714068800210953,272191.9113189600175247
618500.0046624999959022,268439.1328194899833761,619166.6716399999568239,269016.4833578700199723
618500.0046624999959022,269016.4833578700199723,619166.6716399999568239,269593.8338962499983609
618500.0046624999959022,271325.8855113899917342,619166.6716399999568239,271903.2360497700283304
