X,Y,field_1,feature_id,longitude,latitude,year,canton,accidentday,accidenttype,severity,accidenttypecode,roadtype,day,time,month-year,start-time,end-time
7.58961850273277,47.5523326709157,495,1BF1DBF21254005AE0530A8394275A87,611365.997793219,266857.002968045,2015,BS,Donnerstag / 07h-08h / Juli 2015,Schleuder- oder Selbstunfall,Unfall mit Schwerverletzten,0,Nebenstrasse,Donnerstag , 07h-08h , Juli 2015,700,08h 
7.58730368182836,47.5511664534709,496,1552F9FDCC8D01EEE0530A839427848F,611191.998062981,266727.002331494,2015,BS,Dienstag / 08h-09h / April 2015,Abbiegeunfall,Unfall mit Leichtverletzten,3,Nebenstrasse,Dienstag , 08h-09h , April 2015,800,09h 
7.5872169411935,47.5486303080934,498,0D529857CE4301ECE0530A8394271E2A,611185.999656971,266445.000448875,2014,BS,Sonntag / 11h-12h / Dezember 2014,Parkierunfall,Unfall mit Leichtverletzten,7,Nebenstrasse,Sonntag , 11h-12h , Dezember 2014,1100,12h 
7.58795081659077,47.5497985680114,499,0D9FFC1C1788009AE0530A8394275189,611240.998870623,266575.001483706,2014,BS,Samstag / 07h-08h / November 2014,Einbiegeunfall,Unfall mit Leichtverletzten,4,Nebenstrasse,Samstag , 07h-08h , November 2014,700,08h 
7.5896986704946,47.5524944534101,502,EB9D659B86C202D2E0430A8394279035,611371.997837866,266875.002847565,2013,BS,Dienstag / 18h-19h / Oktober 2013,Schleuder- oder Selbstunfall,Unfall mit Schwerverletzten,0,Nebenstrasse,Dienstag , 18h-19h , Oktober 2013,1800,19h 
7.59036957530039,47.550155191574,505,E072AA4EF32F0164E0430A839427B5AF,611422.999076205,266615.001196533,2013,BS,Dienstag / 17h-18h / Juni 2013,Auffahrunfall,Unfall mit Schwerverletzten,2,Nebenstrasse,Dienstag , 17h-18h , Juni 2013,1700,18h 
7.59099933988346,47.5520520634896,506,DE3AC50901380296E0430A83942790EF,611469.998113311,266826.002512825,2013,BS,Donnerstag / 13h-14h / Mai 2013,Schleuder- oder Selbstunfall,Unfall mit Leichtverletzten,0,Nebenstrasse,Donnerstag , 13h-14h , Mai 2013,1300,14h 
7.58914630097472,47.5497610522911,507,D72F9057FA2901FEE0430A839427DBED,611330.999092603,266571.001160149,2013,BS,Freitag / 13h-14h / Februar 2013,Überholunfall oder Fahrstreifenwechsel,Unfall mit Leichtverletzten,1,Nebenstrasse,Freitag , 13h-14h , Februar 2013,1300,14h 
7.58997030705561,47.5498948907702,508,D15A018438120042E0430A8394272E9B,611392.999149735,266586.0010781,2012,BS,Dienstag / 13h-14h / November 2012,Überholunfall oder Fahrstreifenwechsel,Unfall mit Schwerverletzten,1,Nebenstrasse,Dienstag , 13h-14h , November 2012,1300,14h 
7.59046233643374,47.5500741261326,509,CDFB137690B30070E0430A839427CA48,611429.99913782,266606.001104758,2012,BS,Dienstag / 21h-22h / November 2012,Fussgängerunfall,Unfall mit Schwerverletzten,8,andere,Dienstag , 21h-22h , November 2012,2100,22h 
