,feature_id,longitude,latitude,year,canton,accidentday,accidenttype,severity,accidenttypecode,roadtype
193,B7D723C2A65C00F8E0430A83942700F8,610208.9998989515,267814.00040479423,2012.0,BS,Montag / 13h-14h / Januar 2012,Parkierunfall,Unfall mit Schwerverletzten,7.0,Nebenstrasse
194,B46E4CB2D2D80078E0430A8394270078,610218.9999089851,267776.0003396395,2011.0,BS,Montag / 06h-07h / November 2011,Schleuder- oder Selbstunfall,Unfall mit Schwerverletzten,0.0,Hauptstrasse
195,B1390C7D1BEC007EE0430A839427007E,610170.9998451181,267925.0007534437,2011.0,BS,Montag / 06h-07h / Oktober 2011,Überqueren der Fahrbahn,Unfall mit Leichtverletzten,5.0,Nebenstrasse
196,AD8487873454019CE0430A839427019C,610357.9998837193,268068.0003788925,2011.0,BS,Montag / 12h-13h / September 2011,Überqueren der Fahrbahn,Unfall mit Leichtverletzten,5.0,Nebenstrasse
197,AA490950A9F501E6E0430A83942701E6,610333.9999306148,267785.00012529426,2011.0,BS,Sonntag / 00h-01h / Juli 2011,Parkierunfall,Unfall mit Leichtverletzten,7.0,Nebenstrasse
198,A7F4656C807D01C6E0430A83942701C6,610442.9999243949,267956.00008037,2011.0,BS,Dienstag / 18h-19h / Mai 2011,Abbiegeunfall,Unfall mit Schwerverletzten,3.0,Nebenstrasse
199,9B7EBC53E6D98086E0430A865E338086,610245.9998950994,267871.00039783807,2011.0,BS,Samstag / 23h-00h / Januar 2011,Parkierunfall,Unfall mit Leichtverletzten,7.0,Nebenstrasse
200,60D966A0CD0B023EE0530A839427D4F9,610616.9999339466,268190.9999059312,2017.0,BS,Freitag / 08h-09h / Dezember 2017,Parkierunfall,Unfall mit Leichtverletzten,7.0,Nebenstrasse
201,5303A3E8D6B900BCE0530A83942774B5,610554.9996444857,268350.0008695401,2017.0,BS,Samstag / 14h-15h / Mai 2017,Schleuder- oder Selbstunfall,Unfall mit Leichtverletzten,0.0,Nebenstrasse
202,39B9F3E7317A014AE0530A83942763CC,610432.9997485946,268319.00084267114,2016.0,BS,Freitag / 17h-18h / Juli 2016,Parkierunfall,Unfall mit Schwerverletzten,7.0,Nebenstrasse
203,37FE11B8F4AF0068E0530A839427F7E5,610561.999150432,268458.00223088544,2016.0,BS,Dienstag / 17h-18h / Juni 2016,Fussgängerunfall,Unfall mit Leichtverletzten,8.0,Nebenstrasse
204,307428806DDD01D4E0530A8394270DBE,610472.9992173509,268591.000136234,2016.0,BS,Mittwoch / 10h-11h / März 2016,Fussgängerunfall,Unfall mit Leichtverletzten,8.0,Nebenstrasse
205,2B68545F4237026EE0530A8394270032,610366.9995115007,268455.00073960103,2016.0,BS,Montag / 20h-21h / Januar 2016,Parkierunfall,Unfall mit Leichtverletzten,7.0,Hauptstrasse
206,28B90EF5BAB700BEE0530A839427AE2F,610618.9989034977,268641.00015441957,2015.0,BS,Montag / 18h-19h / Dezember 2015,Parkierunfall,Unfall mit Leichtverletzten,7.0,Nebenstrasse
207,2715BA20B5E60068E0530A8394271104,610177.9999653703,268306.9997690375,2015.0,BS,Montag / 14h-15h / November 2015,Auffahrunfall,Unfall mit Schwerverletzten,2.0,Nebenstrasse
208,276BBD338C8E018AE0530A8394273E90,610481.9992954114,268436.00196608773,2015.0,BS,Donnerstag / 11h-12h / November 2015,Fussgängerunfall,Unfall mit Schwerverletzten,8.0,Nebenstrasse
209,23030F61E78D012CE0530A839427E899,610574.9999265706,268159.99997704907,2015.0,BS,Samstag / 14h-15h / Oktober 2015,Überqueren der Fahrbahn,Unfall mit Leichtverletzten,5.0,Nebenstrasse
210,1B9E743AA18E01DCE0530A8394274BAE,610580.9999282227,268159.9999632642,2015.0,BS,Mittwoch / 19h-20h / April 2015,Einbiegeunfall,Unfall mit Leichtverletzten,4.0,Nebenstrasse
